SYSUDN_CODIGO_K,LIQUID_REFERENCIA,CTECLI_CODIGO_K,CFGEPL_CODIGO_K,CFGEPL_NOMBRE,CFGECO_CODIGO_K,CFGECO_DESCRIPCION,LIQUID_AYUDANTE1,LIQUID_AYUDANTE2,LIQUID_FECHAENT,VTARUT_CODIGO_K,VTARUT_DESCRIPCION,PRODUC_CODIGO_K,PRODUC_DESCRIPCION,PROPRE_CODIGO_K,FACDOC_FECHA,TPO_VTA,PIEZAS,COSTO,IMPORTE,LIQUIDACION,VENTA
UDN_000002,REF_000001,CLIENTE_022167,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_024172,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000006,PRODUCTO_000005,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024172,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000008,PRODUCTO_000006,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024172,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,9,39,351,351,8273.58
UDN_000002,REF_000001,CLIENTE_024483,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000009,PRODUCTO_000007,PROD_000007,09/02/2027,CONTADO,5,12.5,62.5,62.5,8273.58
UDN_000002,REF_000001,CLIENTE_024483,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000010,PRODUCTO_000008,PROD_000007,09/02/2027,CONTADO,4,24,96,96,8273.58
UDN_000002,REF_000001,CLIENTE_024483,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_024488,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,3,39,117,117,8273.58
UDN_000002,REF_000001,CLIENTE_024494,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000011,PRODUCTO_000009,PROD_000007,09/02/2027,CONTADO,1,16,16,16,8273.58
UDN_000002,REF_000001,CLIENTE_024494,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000012,PRODUCTO_000010,PROD_000007,09/02/2027,CONTADO,2,18.54,37.08,37.08,8273.58
UDN_000002,REF_000001,CLIENTE_024494,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000013,PRODUCTO_000011,PROD_000007,09/02/2027,CONTADO,1,17,17,17,8273.58
UDN_000002,REF_000001,CLIENTE_024501,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_024533,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,10,39,390,390,8273.58
UDN_000002,REF_000001,CLIENTE_024547,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000008,PRODUCTO_000006,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024547,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_024549,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000011,PRODUCTO_000009,PROD_000007,09/02/2027,CONTADO,4,16,64,64,8273.58
UDN_000002,REF_000001,CLIENTE_024549,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000008,PRODUCTO_000006,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024549,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,9,39,351,351,8273.58
UDN_000002,REF_000001,CLIENTE_024570,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,9,39,351,351,8273.58
UDN_000002,REF_000001,CLIENTE_024590,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000006,PRODUCTO_000005,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024590,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,3,39,117,117,8273.58
UDN_000002,REF_000001,CLIENTE_024588,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000006,PRODUCTO_000005,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_024588,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,6,39,234,234,8273.58
UDN_000002,REF_000001,CLIENTE_024790,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_026330,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,2,39,78,78,8273.58
UDN_000002,REF_000001,CLIENTE_026706,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CREDITO,5,35.5,-177.5,0,8273.58
UDN_000002,REF_000001,CLIENTE_026707,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CREDITO,16,35.5,-568,0,8273.58
UDN_000002,REF_000001,CLIENTE_027397,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,4,39,156,156,8273.58
UDN_000002,REF_000001,CLIENTE_027395,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,2,39,78,78,8273.58
UDN_000002,REF_000001,CLIENTE_027637,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000006,PRODUCTO_000005,PROD_000007,09/02/2027,CONTADO,6,15.5,93,93,8273.58
UDN_000002,REF_000001,CLIENTE_027637,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,2,39,78,78,8273.58
UDN_000002,REF_000001,CLIENTE_027811,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,09/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,09/02/2027,CONTADO,7,39,273,273,8273.58
UDN_000002,REF_000002,,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000003,PRODUCTO_000003,PROD_000005,10/02/2027,BONIFICACION,1,0,0,0,5679.5612
UDN_000002,REF_000002,CLIENTE_019008,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_019027,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000014,PRODUCTO_000012,PROD_000015,10/02/2027,CONTADO,1,30.63,30.63,30.63,5679.5612
UDN_000002,REF_000002,CLIENTE_019027,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000016,PRODUCTO_000013,PROD_000015,10/02/2027,CONTADO,3,30.63,91.89,91.89,5679.5612
UDN_000002,REF_000002,CLIENTE_019027,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,1,39,39,39,5679.5612
UDN_000002,REF_000002,CLIENTE_019011,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,7,39,273,273,5679.5612
UDN_000002,REF_000002,CLIENTE_018279,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CREDITO,13,38.2,-496.6,0,5679.5612
UDN_000002,REF_000002,CLIENTE_019358,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,5,39,195,195,5679.5612
UDN_000002,REF_000002,CLIENTE_019522,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000008,PRODUCTO_000006,PROD_000007,10/02/2027,CONTADO,6,15.5,93,93,5679.5612
UDN_000002,REF_000002,CLIENTE_019522,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,13,39,507,507,5679.5612
UDN_000002,REF_000002,CLIENTE_019526,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,8,39,312,312,5679.5612
UDN_000002,REF_000002,CLIENTE_019681,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_020711,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000017,PRODUCTO_000014,PROD_000018,10/02/2027,CONTADO,24,3.75,90,90,5679.5612
UDN_000002,REF_000002,CLIENTE_020711,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000019,PRODUCTO_000015,PROD_000020,10/02/2027,CONTADO,12,9.1667,110.0004,110.0004,5679.5612
UDN_000002,REF_000002,CLIENTE_020711,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,1,39,39,39,5679.5612
UDN_000002,REF_000002,CLIENTE_020795,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_020828,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CREDITO,7,38.2,-267.4,0,5679.5612
UDN_000002,REF_000002,CLIENTE_020944,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,5,39,195,195,5679.5612
UDN_000002,REF_000002,CLIENTE_020954,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000019,PRODUCTO_000015,PROD_000020,10/02/2027,CONTADO,24,9.1667,220.0008,220.0008,5679.5612
UDN_000002,REF_000002,CLIENTE_020954,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000021,PRODUCTO_000016,PROD_000022,10/02/2027,CONTADO,12,5,60,60,5679.5612
UDN_000002,REF_000002,CLIENTE_020954,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,1,39,39,39,5679.5612
UDN_000002,REF_000002,CLIENTE_021179,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_021620,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CREDITO,4,36,-144,0,5679.5612
UDN_000002,REF_000002,CLIENTE_022003,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,5,39,195,195,5679.5612
UDN_000002,REF_000002,CLIENTE_022055,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,2,41,82,82,5679.5612
UDN_000002,REF_000002,CLIENTE_022059,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000019,PRODUCTO_000015,PROD_000020,10/02/2027,CREDITO,36,9.1667,-330.0012,0,5679.5612
UDN_000002,REF_000002,CLIENTE_022059,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000023,PRODUCTO_000017,PROD_000024,10/02/2027,CREDITO,24,7.5,-180,0,5679.5612
UDN_000002,REF_000002,CLIENTE_022059,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000021,PRODUCTO_000016,PROD_000022,10/02/2027,CREDITO,12,5,-60,0,5679.5612
UDN_000002,REF_000002,CLIENTE_022059,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CREDITO,8,36,-288,0,5679.5612
UDN_000002,REF_000002,CLIENTE_022194,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,2,42,84,84,5679.5612
UDN_000002,REF_000002,CLIENTE_023738,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,2,39,78,78,5679.5612
UDN_000002,REF_000002,CLIENTE_023842,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,6,39,234,234,5679.5612
UDN_000002,REF_000002,CLIENTE_023949,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_023950,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000025,PRODUCTO_000018,PROD_000022,10/02/2027,CONTADO,4,24.75,99,99,5679.5612
UDN_000002,REF_000002,CLIENTE_023950,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,5,39,195,195,5679.5612
UDN_000002,REF_000002,CLIENTE_023981,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000023,PRODUCTO_000017,PROD_000024,10/02/2027,CONTADO,12,7.5,90,90,5679.5612
UDN_000002,REF_000002,CLIENTE_023981,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,3,39,117,117,5679.5612
UDN_000002,REF_000002,CLIENTE_024300,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,5,39,195,195,5679.5612
UDN_000002,REF_000002,CLIENTE_024451,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CONTADO,4,39,156,156,5679.5612
UDN_000002,REF_000002,CLIENTE_024517,VEN_000001,VENDEDOR_000001,RUTA_000002,Ruta anonimizada,AYUDANTE_000001,,10/02/2027,RUTA_000001,Ruta anonimizada,PROD_000001,PRODUCTO_000004,PROD_000004,10/02/2027,CREDITO,3,35.5,-106.5,0,5679.5612
